Source,Target,MutualScore,A_to_B_avg,B_to_A_avg
ES,RU,5.59,4.64,0.96
PL,RS,5.59,4.92,0.67
BA,MT,5.58,4.0,1.58
AZ,BE,5.58,2.38,3.2
AT,GE,5.57,0.3,5.27
BE,DK,5.54,2.45,3.09
AT,BE,5.54,1.96,3.58
ES,IE,5.54,3.92,1.62
AZ,RS,5.52,2.23,3.29
DE,GR,5.5,4.37,1.14
LU,SI,5.5,0.5,5.0
CS,GB,5.5,0.0,5.5
ME,PT,5.5,3.5,2.0
IT,LV,5.49,1.64,3.86
FR,GB,5.48,3.22,2.26
AL,DE,5.46,2.52,2.94
GE,MT,5.46,2.69,2.77
BE,CY,5.45,2.78,2.67
GB,NO,5.44,2.56,2.89
FR,YU,5.44,1.72,3.72
EE,MT,5.44,3.0,2.44
GE,RS,5.43,4.21,1.21
AT,TR,5.42,2.69,2.73
CY,FI,5.42,1.86,3.56
LT,MT,5.42,3.05,2.38
CY,IS,5.41,1.65,3.77
GB,MD,5.41,4.47,0.95
MT,YU,5.4,2.0,3.4
RO,SI,5.4,3.5,1.9
ES,SM,5.4,3.33,2.07
IT,NL,5.39,3.09,2.3
BE,DE,5.37,2.78,2.59
ES,IS,5.37,4.43,0.95
CH,SI,5.35,0.6,4.75
CY,FR,5.34,3.75,1.59
ES,SE,5.33,4.02,1.31
HR,MC,5.33,0.0,5.33
AZ,FI,5.33,3.14,2.19
BA,FI,5.32,1.54,3.79
AL,IS,5.32,2.17,3.16
HR,LV,5.31,2.38,2.94
DK,MD,5.31,3.25,2.06
HR,IS,5.3,1.69,3.61
IT,MC,5.29,2.67,2.62
CH,GE,5.28,0.2,5.08
IE,YU,5.27,2.36,2.91
LV,SM,5.27,0.67,4.6
IT,YU,5.25,1.33,3.92
FI,SI,5.24,2.76,2.48
DE,RO,5.24,3.59,1.65
CY,NO,5.23,2.87,2.36
IL,IS,5.23,2.23,3.0
AT,FI,5.22,2.06,3.15
AD,IS,5.2,4.0,1.2
AD,NL,5.2,3.8,1.4
CY,PL,5.19,2.67,2.52
BE,NO,5.18,3.08,2.09
PT,SI,5.18,2.26,2.92
ES,HU,5.18,4.12,1.06
HU,IT,5.17,3.5,1.67
GE,NL,5.16,3.86,1.3
BA,IT,5.15,2.4,2.75
LT,SI,5.14,2.1,3.05
CY,DK,5.13,2.53,2.6
AL,MD,5.13,3.0,2.13
LU,SE,5.12,2.47,2.65
ES,TR,5.09,1.62,3.47
CZ,LT,5.09,2.09,3.0
DE,MT,5.08,3.94,1.14
IS,MT,5.08,2.15,2.93
GB,NL,5.07,2.42,2.65
IE,SK,5.06,1.2,3.86
AL,PL,5.06,2.06,3.0
IE,MD,5.04,3.81,1.23
CZ,DE,5.03,1.69,3.33
FR,NO,5.02,1.71,3.31
IE,PT,5.01,1.38,3.63
ES,MA,5.0,0.0,5.0
RU,TR,5.0,1.67,3.33
MC,UA,5.0,5.0,0.0
BE,CS,5.0,5.0,0.0
CS,LV,5.0,0.0,5.0
CS,MT,5.0,0.0,5.0
CZ,LU,5.0,0.0,5.0
AL,RO,4.98,2.62,2.36
DK,RS,4.98,1.41,3.57
DE,LU,4.97,2.45,2.53
LU,NL,4.96,2.54,2.42
CY,SI,4.96,1.54,3.42
BE,CH,4.94,3.25,1.69
IE,MC,4.94,2.11,2.83
GR,LU,4.94,1.94,3.0
PL,RO,4.94,2.94,2.0
AL,FI,4.94,2.47,2.47
DE,IS,4.93,2.66,2.28
GB,IT,4.92,1.71,3.21
BE,FI,4.92,2.09,2.83
IL,MK,4.92,1.17,3.75
DK,FR,4.91,2.21,2.69
IE,TR,4.91,0.77,4.13
RO,SM,4.9,1.3,3.6
FR,SM,4.89,1.89,3.0
FI,FR,4.88,3.09,1.79
FR,HU,4.88,4.0,0.88
AM,FI,4.88,3.0,1.88
HU,LV,4.87,2.2,2.67
IL,SI,4.86,2.18,2.68
DE,MC,4.83,2.33,2.5
IS,SK,4.83,1.67,3.17
CS,IE,4.83,0.33,4.5
BY,ME,4.83,0.83,4.0
PT,SM,4.83,1.17,3.67
DK,SM,4.83,1.33,3.5
HR,SM,4.83,0.83,4.0
FI,NL,4.82,2.68,2.14
CH,CY,4.82,2.0,2.82
FR,LT,4.82,1.14,3.68
PT,RU,4.82,4.56,0.27
BY,HR,4.82,3.27,1.55
CZ,DK,4.81,4.11,0.7
AM,LV,4.8,1.0,3.8
SE,YU,4.79,1.88,2.92
ES,NL,4.79,3.07,1.72
BA,IE,4.79,3.38,1.41
PL,PT,4.79,3.96,0.83
AZ,GB,4.79,1.59,3.2
GR,SI,4.78,1.26,3.52
BG,IS,4.78,1.42,3.36
BE,MT,4.77,3.14,1.63
DE,EE,4.77,2.81,1.97
CH,LU,4.76,1.39,3.37
DE,LT,4.75,2.91,1.84
DK,IT,4.74,1.37,3.37
AL,NO,4.74,3.43,1.32
AD,NO,4.73,4.33,0.4
DE,FI,4.72,2.81,1.91
GR,IS,4.72,2.22,2.5
IT,LU,4.69,2.26,2.43
ES,RS,4.69,3.57,1.12
EE,HR,4.68,1.96,2.72
FI,RO,4.68,1.83,2.84
MK,NL,4.68,3.18,1.5
AT,PT,4.67,2.17,2.5
AT,SK,4.67,1.0,3.67
AD,RU,4.67,3.67,1.0
AL,RS,4.66,3.36,1.31
GR,IE,4.64,3.06,1.59
ES,LU,4.63,2.03,2.6
GB,RO,4.63,3.29,1.35
GB,SM,4.63,1.5,3.13
AM,RS,4.62,3.08,1.54
IL,ME,4.62,0.89,3.73
AZ,DK,4.62,1.55,3.08
BA,GR,4.61,3.5,1.11
GB,RU,4.61,2.95,1.65
AZ,FR,4.61,1.18,3.43
CY,LU,4.6,3.14,1.46
FI,PT,4.58,2.4,2.18
CY,NL,4.56,2.16,2.4
DK,HR,4.52,1.43,3.09
BG,SE,4.51,2.43,2.08
AT,ES,4.5,1.64,2.86
NO,SK,4.5,0.0,4.5
BA,RU,4.5,3.56,0.94
AL,GB,4.5,2.14,2.35
BG,CS,4.5,4.0,0.5
LU,PL,4.5,1.5,3.0
MD,MT,4.48,2.62,1.87
NO,PT,4.45,1.96,2.48
ME,NO,4.43,3.83,0.6
BY,SI,4.42,2.58,1.83
ES,GB,4.36,2.72,1.64
ES,MC,4.36,1.77,2.59
BE,BY,4.36,0.29,4.08
AM,HU,4.36,1.25,3.11
EE,RO,4.35,1.85,2.5
BG,LV,4.35,0.44,3.91
BY,PT,4.34,3.09,1.25
AD,FR,4.33,4.33,0.0
GE,IS,4.33,3.08,1.25
GB,HR,4.31,2.11,2.2
LU,MC,4.3,2.15,2.15
AT,NO,4.29,2.39,1.9
FR,HR,4.27,1.87,2.4
AT,MK,4.25,3.08,1.17
BY,MK,4.22,1.47,2.75
IS,SI,4.21,1.48,2.73
AD,MT,4.2,3.6,0.6
EE,GR,4.19,1.5,2.69
AZ,IS,4.19,0.44,3.75
GR,TR,4.18,1.29,2.89
AM,IS,4.18,1.93,2.25
ES,FI,4.17,2.34,1.83
DK,TR,4.17,3.1,1.07
CS,IS,4.17,0.67,3.5
FI,LU,4.15,2.85,1.29
NL,YU,4.12,1.54,2.58
CY,PT,4.12,1.83,2.29
FR,LV,4.12,1.76,2.36
AM,AU,4.12,2.12,2.0
GB,HU,4.1,1.87,2.24
AM,HR,4.08,2.62,1.47
ME,RO,4.08,3.2,0.88
LT,SM,4.08,0.0,4.08
CH,YU,4.07,1.07,3.0
CH,RU,4.07,1.74,2.33
LT,RS,4.07,1.0,3.07
FI,GE,4.07,1.57,2.5
LU,YU,4.04,1.48,2.56
HR,RO,4.02,1.58,2.44
FR,MT,4.01,2.18,1.84
DK,ME,4.01,0.71,3.3
MA,NO,4.0,4.0,0.0
BA,RO,4.0,2.0,2.0
GE,HR,4.0,2.0,2.0
DK,SK,4.0,0.0,4.0
EE,LU,4.0,0.0,4.0
MK,NO,3.98,2.37,1.62
PT,SK,3.97,1.8,2.17
MC,NL,3.96,2.04,1.92
MC,SE,3.95,1.71,2.24
IS,RO,3.94,2.56,1.39
CH,MC,3.92,1.67,2.25
GR,SE,3.92,2.19,1.74
BY,SM,3.92,3.67,0.25
FI,MC,3.9,1.95,1.95
BE,YU,3.89,2.33,1.56
DK,MC,3.85,1.23,2.62
BE,LU,3.83,2.03,1.81
DK,PT,3.81,1.66,2.15
AL,DK,3.79,0.95,2.83
FR,SI,3.78,1.41,2.37
GB,MK,3.78,2.07,1.71
HU,MK,3.75,1.33,2.42
AD,PL,3.75,2.0,1.75
ES,PL,3.72,2.68,1.04
HR,PL,3.71,0.71,3.0
ES,NO,3.7,2.18,1.52
ES,YU,3.7,1.89,1.81
IL,TR,3.7,1.45,2.25
IE,SI,3.69,1.56,2.12
MT,PT,3.68,1.68,2.0
GR,MK,3.67,0.62,3.05
MC,RO,3.67,3.67,0.0
LT,MC,3.67,0.0,3.67
AT,CY,3.66,1.06,2.61
AT,LU,3.64,2.39,1.24
MT,SI,3.63,1.55,2.09
ES,HR,3.62,1.79,1.83
SI,SM,3.6,0.38,3.22
FR,GE,3.58,1.23,2.35
DK,MK,3.57,1.85,1.72
MK,SM,3.57,2.17,1.4
IE,SM,3.56,0.0,3.56
AT,YU,3.55,1.68,1.86
DK,YU,3.53,3.12,0.41
NO,TR,3.52,1.79,1.73
FI,MK,3.51,0.69,2.82
MC,MT,3.5,1.67,1.83
GR,YU,3.5,1.8,1.7
CS,LT,3.5,2.0,1.5
AD,CZ,3.5,0.0,3.5
AM,SK,3.5,0,3.5
AT,SM,3.48,0.67,2.82
CY,MK,3.47,0.36,3.11
BE,MC,3.46,1.67,1.79
BA,MD,3.44,1.11,2.33
EE,ES,3.43,0.53,2.9
BE,MK,3.41,0.0,3.41
CY,LV,3.4,1.5,1.9
FI,YU,3.38,1.88,1.5
FI,TR,3.38,1.9,1.48
MK,PL,3.38,2.08,1.3
LV,MK,3.38,1.0,2.38
IE,RS,3.34,1.88,1.46
DK,GR,3.33,2.08,1.24
BA,BY,3.33,1.0,2.33
LV,MC,3.33,0.0,3.33
GE,NO,3.33,3.06,0.27
CZ,ME,3.33,1.0,2.33
AL,SK,3.33,2.0,1.33
BY,IT,3.33,2.0,1.33
HU,LT,3.31,1.08,2.23
DE,GE,3.31,2.08,1.24
GE,SI,3.31,2.17,1.14
DE,YU,3.3,1.37,1.93
GE,RO,3.3,2.5,0.8
CY,DE,3.29,1.38,1.92
BY,NL,3.27,2.77,0.5
IL,SK,3.25,0.0,3.25
BY,TR,3.25,2.25,1.0
DK,GE,3.25,0.5,2.75
BY,RO,3.24,2.08,1.17
BY,FI,3.24,2.08,1.17
GR,LV,3.21,1.16,2.05
MC,TR,3.2,2.2,1.0
BA,BE,3.2,1.47,1.73
DE,SK,3.17,0.0,3.17
DE,MD,3.15,2.62,0.53
GB,GE,3.15,1.8,1.35
LU,NO,3.14,1.4,1.74
MT,PL,3.13,1.7,1.43
MC,YU,3.12,1.12,2.0
BA,PL,3.12,1.79,1.33
AD,TR,3.1,2.5,0.6
AD,LT,3.1,2.6,0.5
AM,DK,3.1,1.5,1.6
AL,EE,3.05,2.61,0.44
DK,ES,3.03,0.88,2.15
DK,LU,3.02,1.56,1.46
AT,MC,3.0,1.56,1.44
MC,PT,3.0,1.28,1.72
AT,MA,3.0,0.0,3.0
AL,BY,3.0,1.0,2.0
AD,DK,3.0,3.0,0.0
AZ,DE,3.0,0.47,2.53
LT,RO,2.95,1.47,1.47
BY,CH,2.9,2.75,0.15
DE,MK,2.86,2.33,0.52
ME,NL,2.86,2.0,0.86
ES,LV,2.85,1.85,1.0
EE,ME,2.83,0.0,2.83
ES,SI,2.82,1.92,0.9
GB,RS,2.82,1.93,0.88
BE,ME,2.82,0.0,2.82
LU,TR,2.81,1.19,1.62
DE,SI,2.8,1.35,1.45
PL,SK,2.8,1.0,1.8
GR,LT,2.78,1.0,1.78
AM,SI,2.77,0.85,1.93
IS,TR,2.71,1.29,1.42
IS,LU,2.7,1.4,1.3
MC,NO,2.68,1.23,1.45
BA,IL,2.67,2.27,0.4
AD,AT,2.67,2.67,0.0
CZ,TR,2.67,2.33,0.33
IS,ME,2.67,0.25,2.42
NO,YU,2.65,1.62,1.04
BA,GB,2.63,1.74,0.89
BY,DK,2.63,2.25,0.38
PT,YU,2.61,1.3,1.3
AD,SI,2.6,1.6,1.0
CY,SK,2.57,0.0,2.57
GB,SI,2.55,0.88,1.67
FR,ME,2.54,1.0,1.54
CS,PL,2.5,0.0,2.5
AD,AL,2.5,1.0,1.5
IT,SK,2.5,0.0,2.5
GB,SK,2.43,0.0,2.43
SI,SK,2.4,0.6,1.8
AD,LV,2.4,2.4,0.0
EE,MK,2.37,0.13,2.24
ES,ME,2.36,0.67,1.69
EE,TR,2.34,0.88,1.47
EE,MC,2.33,0.67,1.67
MC,SI,2.33,2.33,0.0
AT,ME,2.33,0.0,2.33
BY,SK,2.33,1.0,1.33
AM,LT,2.32,1.14,1.18
FR,MK,2.29,1.0,1.29
AL,GE,2.29,1.09,1.2
AL,IE,2.27,1.54,0.73
ES,LT,2.22,1.3,0.92
MK,PT,2.22,1.77,0.45
BA,ES,2.21,1.58,0.63
AL,CZ,2.21,0.3,1.91
AD,IE,2.2,1.2,1.0
BY,FR,2.19,0.69,1.5
BE,HR,2.18,1.27,0.9
SI,TR,2.18,1.06,1.12
LV,RS,2.18,1.0,1.18
RO,SK,2.17,1.0,1.17
GE,MK,2.17,0.67,1.5
PT,TR,2.16,0.66,1.5
RU,SK,2.13,0.33,1.8
CH,ME,2.1,0.6,1.5
LV,RO,2.09,1.16,0.93
BY,IE,2.08,0.92,1.17
DK,MA,2.0,0.0,2.0
HU,SK,2.0,0.0,2.0
MK,SK,2.0,0.75,1.25
IS,MC,2.0,0.0,2.0
AD,MD,2.0,1.0,1.0
AM,GB,2.0,0.94,1.06
AD,SM,2.0,2.0,0.0
BA,PT,1.93,0.75,1.18
IE,MK,1.87,0.93,0.94
BA,HU,1.85,1.75,0.1
ES,GE,1.84,1.08,0.76
CS,EE,1.83,1.33,0.5
AD,CH,1.8,1.8,0.0
LT,SK,1.75,0.0,1.75
IS,MK,1.69,0.75,0.94
LT,TR,1.67,1.33,0.33
AL,MC,1.67,0.67,1.0
GE,IE,1.64,0.36,1.27
AD,EE,1.6,0.0,1.6
FI,ME,1.52,0.27,1.25
BA,IS,1.5,0.5,1.0
AD,CS,1.5,1.5,0.0
AD,CY,1.5,1.5,0.0
ME,PL,1.5,1.5,0.0
LT,MK,1.47,0.31,1.17
LT,ME,1.44,0.0,1.44
PL,TR,1.35,0.73,0.62
MC,MK,1.33,1.33,0.0
AD,BE,1.33,1.33,0.0
ES,MK,1.29,0.0,1.29
AM,IE,1.29,0.6,0.69
BA,EE,1.24,1.12,0.12
BA,GE,1.23,0.83,0.4
AL,LT,1.17,1.11,0.06
LV,ME,1.17,0.29,0.89
DE,SM,1.1,0.1,1.0
FR,MA,1.0,0.0,1.0
CH,SK,1.0,0.0,1.0
NL,SK,1.0,0.0,1.0
AD,GB,1.0,1.0,0.0
MC,MD,1.0,0.0,1.0
AM,LU,1.0,0.0,1.0
ES,SK,0.97,0.4,0.57
BA,LT,0.87,0.33,0.54
AL,LV,0.86,0.06,0.8
FI,SK,0.83,0.5,0.33
LV,TR,0.83,0.17,0.67
AD,DE,0.83,0.83,0.0
CY,TR,0.8,0.43,0.37
AD,BY,0.8,0.0,0.8
BA,LV,0.79,0.45,0.33
BY,ES,0.76,0.12,0.64
AD,AM,0.75,0.75,0.0
BY,GB,0.66,0.38,0.29
BY,DE,0.65,0.5,0.15
SK,TR,0.6,0.6,0.0
GB,ME,0.54,0.0,0.54
BA,CY,0.51,0.12,0.39
AD,HR,0.5,0.0,0.5
MC,PL,0.5,0.0,0.5
RS,TR,0.5,0.5,0.0
IE,ME,0.5,0.0,0.5
GE,ME,0.4,0.0,0.4
BY,MC,0.33,0.0,0.33
AD,ME,0.33,0.33,0.0
DE,ME,0.25,0.25,0.0
AM,AZ,0.25,0.25,0.0
AD,MK,0.2,0.0,0.2
AD,BA,0.17,0.17,0.0
FR,SK,0.14,0.14,0.0
IE,MA,0.0,0.0,0.0
MA,NL,0.0,0.0,0.0
MA,PT,0.0,0.0,0.0
LU,MA,0.0,0.0,0.0
GR,MA,0.0,0.0,0.0
BE,MA,0.0,0.0,0.0
FI,MA,0.0,0.0,0.0
BA,LU,0.0,0.0,0.0
MC,RU,0.0,0.0,0.0
HU,MC,0.0,0.0,0.0
AD,BG,0.0,0.0,0.0
BG,MC,0.0,0.0,0.0
AM,MC,0.0,0.0,0.0
AM,CS,0.0,0,0.0
AD,RS,0.0,0.0,0.0
AD,GE,0.0,0.0,0.0
LV,SK,0.0,0.0,0.0
GE,SK,0.0,0.0,0.0
BG,SK,0.0,0.0,0.0
GE,LU,0.0,0.0,0.0
LU,SM,0.0,0.0,0.0
