Source,Target,MutualScore,A_to_B_avg,B_to_A_avg
CZ,EE,13.64,5.64,8.0
AL,SM,13.64,7.56,6.08
AU,GR,13.62,6.5,7.12
BY,LT,13.6,7.21,6.38
BG,CZ,13.57,3.71,9.86
GE,GR,13.55,6.33,7.21
CZ,MD,13.5,9.25,4.25
MT,SK,13.4,5.4,8.0
AU,BY,13.4,2.0,11.4
BG,IL,13.39,6.75,6.64
MT,SE,13.36,9.0,4.36
CS,NL,13.33,0.33,13.0
ME,RU,13.3,12.3,1.0
AL,HR,13.27,4.67,8.6
GE,IL,13.27,7.27,6.0
FI,SE,13.25,7.6,5.65
AU,RS,13.22,6.67,6.56
RO,TR,13.15,8.92,4.23
AL,AZ,13.11,6.47,6.64
AU,BA,13.0,0,13.0
AL,LU,13.0,6.0,7.0
LU,LV,13.0,9.0,4.0
LU,ME,13.0,0.0,13.0
AM,BE,12.98,2.64,10.33
BE,PL,12.95,6.42,6.53
SE,UA,12.95,6.45,6.5
RS,RU,12.92,8.83,4.08
NO,UA,12.87,6.4,6.47
GB,LT,12.86,11.42,1.44
BA,CZ,12.83,7.33,5.5
AZ,BA,12.83,4.0,8.83
MD,SM,12.79,4.43,8.36
LV,SE,12.75,9.96,2.79
AM,AT,12.75,5.58,7.17
AU,CH,12.7,5.12,7.57
AD,PT,12.67,10.67,2.0
FR,IL,12.6,8.54,4.07
CZ,IE,12.55,6.43,6.12
CS,DE,12.5,0.0,12.5
BG,SM,12.47,0.67,11.8
ES,RO,12.43,9.95,2.48
AM,ME,12.4,5.5,6.9
FR,RS,12.31,8.25,4.06
BG,UA,12.26,8.93,3.33
AZ,SM,12.23,4.73,7.5
FI,RS,12.21,5.43,6.79
IT,RS,12.2,4.82,7.38
SK,UA,12.17,7.5,4.67
AU,DE,12.1,1.5,10.6
CY,UA,12.06,9.95,2.11
MA,TR,12.0,12.0,0.0
HR,HU,12.0,8.0,4.0
CS,RU,12.0,4.0,8.0
AT,CZ,12.0,7.33,4.67
AT,AU,12.0,5.0,7.0
IT,SI,11.99,1.8,10.19
CZ,PL,11.97,6.3,5.67
CZ,RS,11.86,6.64,5.22
AU,FR,11.85,4.1,7.75
IT,LT,11.84,4.77,7.07
AT,BA,11.79,7.71,4.08
DK,LV,11.75,5.3,6.45
AU,PT,11.75,4.89,6.86
CZ,MK,11.74,6.17,5.57
GB,IE,11.72,7.0,4.72
IT,RU,11.7,7.0,4.7
AM,SE,11.69,8.29,3.4
IE,LV,11.67,8.35,3.32
IT,MK,11.65,3.83,7.82
LV,NO,11.64,7.3,4.33
HU,SM,11.61,4.5,7.11
BG,FI,11.58,3.8,7.78
DK,HU,11.57,3.57,8.0
PL,SE,11.56,8.19,3.36
AU,RO,11.5,2.5,9.0
AZ,SE,11.49,7.18,4.31
CZ,RU,11.43,9.43,2.0
AM,ES,11.42,2.29,9.12
NL,UA,11.36,6.95,4.41
BG,PT,11.36,4.36,7.0
FI,HU,11.34,8.77,2.57
SM,TR,11.33,6.33,5.0
AU,HR,11.32,8.2,3.12
AU,MK,11.31,4.6,6.71
AU,SM,11.29,2.0,9.29
HU,UA,11.27,5.73,5.55
SI,UA,11.26,8.7,2.56
BE,CZ,11.24,7.33,3.91
MT,RO,11.23,5.95,5.28
TR,UA,11.23,6.9,4.33
AU,SI,11.21,3.88,7.33
MD,SE,11.19,7.83,3.35
BG,IE,11.19,1.3,9.89
BE,BG,11.17,6.33,4.83
BG,BY,11.13,3.33,7.8
HU,PL,11.12,4.33,6.79
CY,YU,11.1,5.9,5.2
AZ,MK,11.1,5.67,5.43
LT,SE,11.06,7.84,3.22
EE,IT,11.03,4.67,6.36
AL,AU,11.02,10.14,0.88
BG,GE,11.0,5.0,6.0
DK,UA,10.98,7.68,3.29
HU,RU,10.95,6.8,4.15
IE,SE,10.94,5.84,5.1
BY,IL,10.93,5.93,5.0
ME,UA,10.91,7.91,3.0
LT,PL,10.87,5.28,5.59
RO,RU,10.84,7.26,3.58
AT,HU,10.83,6.08,4.75
DK,EE,10.82,4.61,6.21
BE,UA,10.82,6.55,4.27
BG,NO,10.82,3.0,7.82
BA,SE,10.8,4.11,6.68
EE,HU,10.8,7.13,3.67
DE,PL,10.76,7.95,2.81
GE,MD,10.73,6.0,4.73
AT,HR,10.66,7.8,2.86
BG,MT,10.65,3.1,7.55
DK,IE,10.64,5.38,5.26
AM,IT,10.63,5.33,5.3
