Source,Target,VoteType,TotalPoints,Encounters,AvgPointsPerEncounter
UA,LT,public,79,8,9.88
FR,IL,public,79,8,9.88
FR,PT,public,79,8,9.88
BE,AU,jury,69,7,9.86
LT,EE,public,69,7,9.86
SE,MT,jury,59,6,9.83
IT,RU,public,39,4,9.75
SE,FI,public,78,8,9.75
CH,PT,public,68,7,9.71
LV,EE,public,68,7,9.71
MD,AU,jury,58,6,9.67
HR,RU,jury,29,3,9.67
DK,SE,jury,87,9,9.67
GR,MD,jury,58,6,9.67
GR,RU,public,29,3,9.67
CZ,MD,public,58,6,9.67
LV,MD,public,58,6,9.67
NO,BG,jury,48,5,9.6
MD,UA,jury,67,7,9.57
NL,SE,jury,86,9,9.56
RS,BG,jury,38,4,9.5
PT,BG,jury,38,4,9.5
ME,AL,jury,38,4,9.5
IS,IE,jury,19,2,9.5
BG,RU,public,19,2,9.5
DE,RU,public,38,4,9.5
RS,HR,public,38,4,9.5
BG,RO,public,19,2,9.5
BG,GR,public,38,4,9.5
BY,IS,public,19,2,9.5
IE,SE,jury,85,9,9.44
MT,SE,jury,85,9,9.44
IS,SE,public,85,9,9.44
AT,NL,jury,66,7,9.43
BE,AT,jury,56,6,9.33
GR,AZ,jury,56,6,9.33
HU,BG,public,28,3,9.33
AM,MT,public,28,3,9.33
AT,HU,public,28,3,9.33
HU,NO,public,28,3,9.33
FR,NL,jury,65,7,9.29
NO,NL,jury,65,7,9.29
LT,UA,jury,74,8,9.25
SE,RU,jury,37,4,9.25
AL,CH,jury,74,8,9.25
MT,BG,public,37,4,9.25
RU,MD,public,37,4,9.25
SE,CH,jury,55,6,9.17
CZ,AZ,public,55,6,9.17
FI,IS,public,64,7,9.14
EE,SE,jury,82,9,9.11
DK,AU,jury,54,6,9.0
DE,AU,jury,63,7,9.0
AT,BG,jury,45,5,9.0
BA,AM,jury,9,1,9.0
DK,NL,jury,63,7,9.0
AZ,MT,jury,45,5,9.0
BA,HR,jury,9,1,9.0
MK,AL,jury,36,4,9.0
MD,RO,jury,36,4,9.0
AM,MK,jury,18,2,9.0
HU,RU,public,27,3,9.0
MT,RU,public,36,4,9.0
SM,RU,public,36,4,9.0
UA,PL,public,54,6,9.0
