Source,Target,TotalPoints,Encounters,AvgPointsPerEncounter
LU,EE,8,2,4.0
IL,IT,119,30,3.97
PL,PT,95,24,3.96
MT,TR,87,22,3.95
IS,FR,146,37,3.95
HR,CH,87,22,3.95
IE,CH,201,51,3.94
DE,MT,130,33,3.94
GB,DK,192,49,3.92
YU,IT,94,24,3.92
ES,IE,196,50,3.92
FR,PL,98,25,3.92
HU,IL,51,13,3.92
EE,GE,51,13,3.92
AZ,HR,47,12,3.92
IT,AZ,47,12,3.92
LV,BG,43,11,3.91
CZ,BE,43,11,3.91
ES,DE,245,63,3.89
PT,BE,190,49,3.88
MC,GR,31,8,3.88
MT,DK,97,25,3.88
SI,LV,66,17,3.88
BG,BA,31,8,3.88
HU,BY,31,8,3.88
BG,IT,31,8,3.88
AU,SI,31,8,3.88
RU,LT,58,15,3.87
MT,RS,58,15,3.87
EE,AZ,58,15,3.87
AT,GB,216,56,3.86
HR,NO,108,28,3.86
SK,IE,27,7,3.86
LT,DK,81,21,3.86
GE,NL,54,14,3.86
LV,IT,54,14,3.86
EE,BY,50,13,3.85
IT,IE,142,37,3.84
SI,EE,88,23,3.83
ME,NO,46,12,3.83
IT,MK,23,6,3.83
NO,CH,210,55,3.82
MT,FI,107,28,3.82
NO,MT,126,33,3.82
IL,LV,65,17,3.82
IE,MD,61,16,3.81
IL,NL,152,40,3.8
NO,HU,57,15,3.8
AD,NL,19,5,3.8
BG,FI,38,10,3.8
LV,AM,57,15,3.8
IL,CY,125,33,3.79
FI,BA,53,14,3.79
BE,IT,181,48,3.77
IS,CY,113,30,3.77
AT,MT,94,25,3.76
SE,NL,210,56,3.75
CY,FR,150,40,3.75
MK,IL,75,20,3.75
MD,HR,45,12,3.75
ME,TR,15,4,3.75
NO,CZ,30,8,3.75
IS,AZ,60,16,3.75
IE,FI,176,47,3.74
FR,BA,71,19,3.74
DE,LV,71,19,3.74
PT,CH,183,49,3.73
IE,AT,168,45,3.73
NO,IE,205,55,3.73
IL,NO,168,45,3.73
RU,SE,82,22,3.73
HU,SI,41,11,3.73
ME,IL,41,11,3.73
PT,AZ,56,15,3.73
YU,FR,93,25,3.72
IL,GB,175,47,3.72
TR,GB,126,34,3.71
PL,NL,78,21,3.71
AL,ES,78,21,3.71
AL,FR,78,21,3.71
BG,CZ,26,7,3.71
IE,LU,111,30,3.7
PL,SM,37,10,3.7
NL,MT,107,29,3.69
CH,IS,107,29,3.69
AL,MT,59,16,3.69
GE,PL,48,13,3.69
FR,NL,221,60,3.68
CH,FR,228,62,3.68
LT,FR,92,25,3.68
BE,FR,231,63,3.67
GB,CH,220,60,3.67
SK,AT,11,3,3.67
HU,EE,55,15,3.67
AD,RU,22,6,3.67
MC,RO,11,3,3.67
MC,LT,11,3,3.67
NO,MD,55,15,3.67
CZ,BY,22,6,3.67
SM,PT,44,12,3.67
BY,SM,11,3,3.67
DK,DE,194,53,3.66
DE,CH,216,59,3.66
PT,NL,172,47,3.66
GB,GR,161,44,3.66
IT,CH,168,46,3.65
NL,IE,182,50,3.64
IE,BE,182,50,3.64
IL,FI,142,39,3.64
DK,MT,91,25,3.64
CZ,CY,40,11,3.64
PT,IE,167,46,3.63
CH,UA,69,19,3.63
DE,NO,221,61,3.62
SM,ME,29,8,3.62
BE,IS,112,31,3.61
IS,HR,83,23,3.61
HR,SE,108,30,3.6
IE,HR,90,25,3.6
AD,MT,18,5,3.6
SI,AZ,54,15,3.6
SM,RO,36,10,3.6
AU,ES,36,10,3.6
FI,IE,165,46,3.59
DE,RO,79,22,3.59
BE,AT,186,52,3.58
RU,RO,68,19,3.58
CH,GB,225,63,3.57
DK,HU,50,14,3.57
ES,RS,50,14,3.57
RS,DK,50,14,3.57
DK,FI,146,41,3.56
IT,GR,96,27,3.56
FI,CY,114,32,3.56
HR,IE,89,25,3.56
BA,RU,57,16,3.56
NL,EE,96,27,3.56
AL,AT,57,16,3.56
SM,IE,32,9,3.56
PT,GB,198,56,3.54
GR,CH,127,36,3.53
BE,LV,60,17,3.53
YU,GB,95,27,3.52
TR,NL,95,27,3.52
IS,IE,95,27,3.52
SI,GR,95,27,3.52
FR,RU,81,23,3.52
GR,ES,158,45,3.51
YU,TR,42,12,3.5
BA,GR,63,18,3.5
FI,HR,63,18,3.5
HU,MT,56,16,3.5
HU,IT,35,10,3.5
RO,SI,56,16,3.5
IS,CS,7,2,3.5
BY,CY,49,14,3.5
MD,MK,28,8,3.5
BG,LT,49,14,3.5
ME,PT,35,10,3.5
CZ,AD,7,2,3.5
SM,DK,42,12,3.5
SK,AM,7,2,3.5
DE,NL,206,59,3.49
CY,ES,143,41,3.49
NL,PL,73,21,3.48
HR,LT,80,23,3.48
TR,ES,118,34,3.47
LT,MD,52,15,3.47
MC,GB,83,24,3.46
IE,FR,194,56,3.46
PT,LU,107,31,3.45
CY,IE,114,33,3.45
AZ,PL,38,11,3.45
PT,GR,141,41,3.44
HR,NL,86,25,3.44
NO,EE,86,25,3.44
AM,BG,31,9,3.44
AL,NO,72,21,3.43
FR,AZ,48,14,3.43
SI,CY,89,26,3.42
CZ,GR,41,12,3.42
DE,IT,167,49,3.41
FR,BE,198,58,3.41
ES,MT,109,32,3.41
MK,BE,58,17,3.41
PT,DE,187,55,3.4
YU,MT,17,5,3.4
HR,PT,85,25,3.4
CY,HR,85,25,3.4
RO,AT,51,15,3.4
SE,AM,51,15,3.4
RS,CY,51,15,3.4
GR,CZ,34,10,3.4
IS,BE,105,31,3.39
AT,EE,78,23,3.39
RU,DK,61,18,3.39
BA,IE,54,16,3.38
HR,MD,54,16,3.38
IT,GE,27,8,3.38
IT,DK,118,35,3.37
LU,CH,128,38,3.37
PL,AT,64,19,3.37
DK,RO,64,19,3.37
IT,NO,148,44,3.36
GB,FI,178,53,3.36
IT,HR,37,11,3.36
SE,PL,74,22,3.36
PT,HU,47,14,3.36
HU,BE,37,11,3.36
IS,BG,37,11,3.36
AL,RS,47,14,3.36
IS,LT,67,20,3.35
SE,MD,57,17,3.35
AT,IS,97,29,3.34
HR,FI,70,21,3.33
HU,TR,30,9,3.33
TR,RU,50,15,3.33
MC,LV,10,3,3.33
BG,BY,40,12,3.33
UA,BG,40,12,3.33
DE,CZ,30,9,3.33
ES,SM,40,12,3.33
NL,FR,206,62,3.32
DK,IL,123,37,3.32
LV,IE,63,19,3.32
NO,FR,202,61,3.31
CH,AT,175,53,3.3
FR,SE,201,61,3.3
NL,PT,165,50,3.3
DE,IE,185,56,3.3
LV,IL,76,23,3.3
ME,DK,33,10,3.3
IT,FR,158,48,3.29
IT,SE,148,45,3.29
FI,DK,135,41,3.29
GB,RO,69,21,3.29
BE,EE,79,24,3.29
UA,DK,56,17,3.29
RS,AZ,46,14,3.29
PT,FR,177,54,3.28
DK,GB,170,52,3.27
FR,CH,180,55,3.27
NO,GR,134,41,3.27
BY,HR,36,11,3.27
BE,CH,185,57,3.25
SK,IL,13,4,3.25
UA,FR,65,20,3.25
DK,MD,52,16,3.25
MD,CY,52,16,3.25
HU,GE,26,8,3.25
IE,AZ,52,16,3.25
FR,ES,201,62,3.24
IE,CY,120,37,3.24
FI,LV,55,17,3.24
CH,LV,55,17,3.24
FI,MD,55,17,3.24
LT,IS,71,22,3.23
LV,MT,71,22,3.23
IS,RS,42,13,3.23
FR,GB,209,65,3.22
HR,GR,87,27,3.22
SE,LT,74,23,3.22
SM,SI,29,9,3.22
DE,DK,154,48,3.21
IT,GB,154,48,3.21
DK,AT,154,48,3.21
ES,CY,122,38,3.21
AT,FR,179,56,3.2
BE,GB,205,64,3.2
CH,ES,192,60,3.2
RU,EE,64,20,3.2
BY,AT,32,10,3.2
ME,RO,32,10,3.2
BE,AZ,48,15,3.2
GB,AZ,48,15,3.2
AU,HU,16,5,3.2
ES,FR,198,62,3.19
LU,PT,99,31,3.19
EE,CY,86,27,3.19
DE,FR,207,65,3.18
IT,CY,70,22,3.18
MK,NL,54,17,3.18
AL,BE,54,17,3.18
HU,AL,35,11,3.18
IE,IT,127,40,3.17
NL,IS,95,30,3.17
SK,DE,19,6,3.17
SK,IS,19,6,3.17
HU,CH,38,12,3.17
LV,AT,60,19,3.16
IS,AL,60,19,3.16
FI,AT,145,46,3.15
MK,AM,41,13,3.15
BE,MT,88,28,3.14
CY,LU,44,14,3.14
HU,CY,44,14,3.14
AZ,FI,44,14,3.14
MD,LT,47,15,3.13
SM,GB,47,15,3.13
DK,YU,53,17,3.12
CY,EE,75,24,3.12
TR,HU,25,8,3.12
HR,AU,25,8,3.12
CH,DE,196,63,3.11
DE,GB,205,66,3.11
GR,NL,115,37,3.11
BA,FR,59,19,3.11
MK,CY,56,18,3.11
IS,LV,59,19,3.11
NL,MD,56,18,3.11
HU,AM,28,9,3.11
DK,TR,90,29,3.1
BG,MT,31,10,3.1
FR,CZ,31,10,3.1
IT,NL,139,45,3.09
DK,BE,142,46,3.09
FI,FR,173,56,3.09
IS,IT,68,22,3.09
HR,DK,68,22,3.09
PL,IE,68,22,3.09
BY,PT,34,11,3.09
SE,GB,194,63,3.08
BE,NO,182,59,3.08
MT,AT,80,26,3.08
GR,IL,120,39,3.08
PL,GR,74,24,3.08
AT,MK,37,12,3.08
BG,CH,40,13,3.08
BY,HU,37,12,3.08
AM,RS,37,12,3.08
GE,IS,40,13,3.08
DK,AZ,40,13,3.08
AZ,LV,37,12,3.08
AZ,IE,40,13,3.08
CH,NO,181,59,3.07
ES,NL,172,56,3.07
UA,MT,46,15,3.07
RS,LT,46,15,3.07
AT,DK,144,47,3.06
FR,LU,110,36,3.06
GR,IE,110,36,3.06
IS,MD,49,16,3.06
GE,NO,52,17,3.06
IE,DE,174,57,3.05
IL,CH,128,42,3.05
LT,MT,61,20,3.05
MK,GR,58,19,3.05
SI,LT,64,21,3.05
AT,DE,170,56,3.04
GB,AT,164,54,3.04
SE,CH,167,55,3.04
SE,FR,188,62,3.03
ES,BE,179,59,3.03
NO,IT,135,45,3.0
YU,CH,81,27,3.0
LU,GR,54,18,3.0
MA,AT,3,1,3.0
IS,IL,93,31,3.0
IT,IS,54,18,3.0
EE,MT,75,25,3.0
RO,PT,45,15,3.0
PL,HR,60,20,3.0
BE,LT,54,18,3.0
CS,SE,9,3,3.0
PL,AL,48,16,3.0
AD,DK,18,6,3.0
AL,MD,48,16,3.0
BG,NO,39,13,3.0
MD,IS,48,16,3.0
AM,FI,45,15,3.0
RS,RO,33,11,3.0
CZ,GB,39,13,3.0
UA,ME,12,4,3.0
LT,CZ,27,9,3.0
SM,FR,45,15,3.0
AZ,NL,39,13,3.0
AU,NL,24,8,3.0
PL,LU,6,2,3.0
NL,HR,77,26,2.96
HR,TR,56,19,2.95
GB,RU,65,22,2.95
FR,IS,94,32,2.94
PL,RO,50,17,2.94
RU,SI,50,17,2.94
LV,HR,47,16,2.94
DE,AL,47,16,2.94
SE,AL,47,16,2.94
MT,IS,82,28,2.93
MD,BE,44,15,2.93
DE,AT,152,52,2.92
YU,SE,70,24,2.92
SI,PT,73,25,2.92
BG,NL,35,12,2.92
YU,IE,64,22,2.91
DE,LT,67,23,2.91
ES,EE,84,29,2.9
EE,SM,29,10,2.9
GB,BE,165,57,2.89
NO,GB,182,63,2.89
IL,ES,136,47,2.89
TR,GR,81,28,2.89
TR,HR,55,19,2.89
CY,HU,46,16,2.88
BE,MD,46,16,2.88
IT,CZ,23,8,2.88
CY,NO,109,38,2.87
RU,FR,66,23,2.87
UA,FI,43,15,2.87
FI,GB,166,58,2.86
ES,AT,143,50,2.86
HR,AT,63,22,2.86
IL,HR,60,21,2.86
BE,RS,40,14,2.86
AU,AZ,20,7,2.86
FI,LU,97,34,2.85
FI,GR,114,40,2.85
TR,SE,97,34,2.85
SE,CY,114,40,2.85
IT,ES,128,45,2.84
IL,BE,125,44,2.84
RO,FI,54,19,2.84
RO,BE,54,19,2.84
FI,BE,150,53,2.83
MC,IE,51,18,2.83
EE,FR,85,30,2.83
DK,AL,51,18,2.83
FR,AL,51,18,2.83
BE,GE,34,12,2.83
ME,EE,34,12,2.83
GB,CZ,34,12,2.83
BE,PT,141,50,2.82
CY,CH,96,34,2.82
LT,HR,62,22,2.82
MK,FI,48,17,2.82
ME,BE,31,11,2.82
MT,CZ,31,11,2.82
SM,AT,31,11,2.82
DE,FI,146,52,2.81
PL,DE,73,26,2.81
GR,HU,45,16,2.81
DE,EE,73,26,2.81
ES,CH,151,54,2.8
SI,HU,42,15,2.8
RS,MT,42,15,2.8
FR,EE,78,28,2.79
SE,LV,53,19,2.79
PT,AM,39,14,2.79
BE,DE,178,64,2.78
BE,CY,103,37,2.78
UA,GR,50,18,2.78
RS,BY,25,9,2.78
BE,ES,169,61,2.77
GR,PT,108,39,2.77
BY,NL,36,13,2.77
MT,GE,36,13,2.77
GR,FI,113,41,2.76
SE,TR,91,33,2.76
FI,SI,47,17,2.76
NL,DE,173,63,2.75
BA,NO,44,16,2.75
IT,BA,11,4,2.75
MK,BY,44,16,2.75
BY,CH,33,12,2.75
BG,PL,22,8,2.75
GE,DK,44,16,2.75
FI,MT,74,27,2.74
GR,BE,104,38,2.74
FI,LT,52,19,2.74
NL,AT,139,51,2.73
FR,MC,60,22,2.73
TR,AT,71,26,2.73
SI,IS,71,26,2.73
NL,LT,60,22,2.73
AT,LV,41,15,2.73
ES,GB,174,64,2.72
HR,EE,68,25,2.72
MT,AL,46,17,2.71
AM,BA,19,7,2.71
IT,AT,116,43,2.7
UA,MK,27,10,2.7
FR,DK,132,49,2.69
AT,TR,70,26,2.69
GR,EE,70,26,2.69
MD,NL,43,16,2.69
CZ,FR,35,13,2.69
GE,MT,35,13,2.69
AZ,SI,35,13,2.69
GB,LU,99,37,2.68
FI,NL,134,50,2.68
AT,SI,51,19,2.68
SI,IL,67,25,2.68
ES,PL,67,25,2.68
IT,MC,56,21,2.67
CY,BE,96,36,2.67
SE,HR,72,27,2.67
CY,PL,56,21,2.67
IL,PL,48,18,2.67
AD,AT,8,3,2.67
LV,HU,32,12,2.67
MD,FI,48,18,2.67
AM,TR,16,6,2.67
DE,IS,85,32,2.66
NL,GB,167,63,2.65
SE,LU,90,34,2.65
MT,MK,45,17,2.65
SE,IT,119,45,2.64
AM,BE,37,14,2.64
SE,AT,134,51,2.63
DK,PL,50,19,2.63
GB,DE,173,66,2.62
MC,DK,34,13,2.62
MC,IT,55,21,2.62
AL,RO,42,16,2.62
MD,MT,34,13,2.62
DE,MD,42,16,2.62
AM,HR,34,13,2.62
RS,NL,34,13,2.62
TR,DE,86,33,2.61
CY,AT,86,33,2.61
AL,EE,47,18,2.61
LU,ES,91,35,2.6
CH,FI,138,53,2.6
DK,CY,91,35,2.6
AD,LT,13,5,2.6
DE,BE,150,58,2.59
MC,ES,57,22,2.59
IL,LT,57,22,2.59
YU,NL,67,26,2.58
BY,SI,31,12,2.58
FR,AT,136,53,2.57
SK,CY,18,7,2.57
HU,FI,36,14,2.57
BA,BG,18,7,2.57
AZ,LT,36,14,2.57
GB,NO,161,63,2.56
YU,LU,69,27,2.56
GB,YU,69,27,2.56
IS,RO,46,18,2.56
UA,SI,46,18,2.56
PT,AL,46,18,2.56
RU,MK,28,11,2.55
AM,PL,28,11,2.55
GE,HU,28,11,2.55
LU,NL,89,35,2.54
GR,PL,61,24,2.54
LU,DE,96,38,2.53
CY,DK,81,32,2.53
RU,FI,43,17,2.53
UA,IE,38,15,2.53
CY,AL,38,15,2.53
DE,AZ,38,15,2.53
PT,HR,58,23,2.52
PL,CY,58,23,2.52
AL,DE,53,21,2.52
GR,NO,108,43,2.51
MC,DE,60,24,2.5
PT,AT,110,44,2.5
IS,GR,85,34,2.5
RO,EE,50,20,2.5
PL,CS,5,2,2.5
AD,TR,15,6,2.5
AT,BY,25,10,2.5
BG,AL,30,12,2.5
GE,RO,30,12,2.5
GE,FI,35,14,2.5
TR,ME,5,2,2.5
SK,IT,5,2,2.5
AU,RO,15,6,2.5
LU,RS,5,2,2.5
FR,DE,162,65,2.49
FR,IE,122,49,2.49
PT,NO,139,56,2.48
SI,FI,52,21,2.48
PL,FR,67,27,2.48
RO,ES,57,23,2.48
NL,RO,52,21,2.48
LU,SE,84,34,2.47
IL,DE,116,47,2.47
RO,IE,47,19,2.47
IE,HU,37,15,2.47
FI,AL,42,17,2.47
AL,FI,47,19,2.47
SE,BE,138,56,2.46
GB,PT,133,54,2.46
HU,PT,32,13,2.46
BE,DK,120,49,2.45
DE,LU,93,38,2.45
GR,HR,54,22,2.45
MD,HU,27,11,2.45
CH,CZ,27,11,2.45
RO,HR,39,16,2.44
MT,EE,66,27,2.44
IT,DE,119,49,2.43
LU,IT,85,35,2.43
SK,GB,17,7,2.43
BG,DK,34,14,2.43
BG,SE,34,14,2.43
BG,FR,34,14,2.43
GB,NL,138,57,2.42
NL,LU,87,36,2.42
EE,PT,58,24,2.42
MK,HU,29,12,2.42
ME,IS,29,12,2.42
IE,IS,82,34,2.41
FI,PT,115,48,2.4
CH,MT,72,30,2.4
IL,MC,24,10,2.4
NL,CY,84,35,2.4
HR,FR,72,30,2.4
BA,IT,12,5,2.4
AD,LV,12,5,2.4
CZ,GE,24,10,2.4
AT,LU,79,33,2.39
AT,NO,122,51,2.39
SE,DE,150,63,2.38
DE,PT,124,52,2.38
MT,LT,57,24,2.38
HR,LV,38,16,2.38
MK,LV,31,13,2.38
AZ,BE,31,13,2.38
SI,FR,71,30,2.37
MK,NO,45,19,2.37
IT,BE,106,45,2.36
IE,YU,52,22,2.36
NO,CY,85,36,2.36
LV,FR,59,25,2.36
RO,AL,33,14,2.36
LT,CY,47,20,2.35
UA,IS,40,17,2.35
UA,GB,47,20,2.35
GB,AL,40,17,2.35
GE,FR,40,17,2.35
ES,FI,136,58,2.34
IT,PT,82,35,2.34
DE,MC,56,24,2.33
BE,YU,63,27,2.33
RU,CH,28,12,2.33
DE,MK,42,18,2.33
BY,BA,21,9,2.33
MC,SI,7,3,2.33
MD,BA,21,9,2.33
CZ,TR,7,3,2.33
ME,AT,21,9,2.33
ME,CZ,21,9,2.33
MD,SK,7,3,2.33
RS,SK,7,3,2.33
SE,RO,51,22,2.32
NL,IT,108,47,2.3
CH,EE,53,23,2.3
GB,MC,55,24,2.29
CY,GB,94,41,2.29
PT,CY,78,34,2.29
EE,MD,39,17,2.29
BG,GB,32,14,2.29
AM,ES,39,17,2.29
IL,IE,98,43,2.28
IS,DE,82,36,2.28
MT,ES,84,37,2.27
BA,IL,34,15,2.27
MT,HU,34,15,2.27
GB,FR,147,65,2.26
IT,LU,79,35,2.26
PT,SI,52,23,2.26
MC,CH,54,24,2.25
TR,IL,63,28,2.25
BY,TR,18,8,2.25
BY,DK,36,16,2.25
IS,AM,36,16,2.25
MT,ME,18,8,2.25
SE,MC,47,21,2.24
HU,GB,38,17,2.24
MK,EE,38,17,2.24
IL,IS,67,30,2.23
LT,HU,29,13,2.23
EE,GB,67,30,2.23
AZ,RS,29,13,2.23
GR,IS,71,32,2.22
CH,LT,51,23,2.22
SI,PL,51,23,2.22
MK,CH,40,18,2.22
DK,FR,115,52,2.21
UA,AT,31,14,2.21
MC,TR,11,5,2.2
HR,GB,66,30,2.2
BA,SK,11,5,2.2
LV,DE,55,25,2.2
UA,BA,22,10,2.2
HU,LV,22,10,2.2
GR,SE,94,43,2.19
NO,AM,35,16,2.19
FI,AZ,35,16,2.19
ES,NO,133,61,2.18
PT,FI,107,49,2.18
FR,MT,74,34,2.18
IL,SI,48,22,2.18
AT,PT,89,41,2.17
TR,BE,63,29,2.17
SK,PT,13,6,2.17
LV,SI,39,18,2.17
AL,IS,39,18,2.17
MD,LV,39,18,2.17
GE,SI,26,12,2.17
MK,SM,13,6,2.17
CY,NL,69,32,2.16
LU,MC,43,20,2.15
MC,LU,43,20,2.15
ES,DK,101,47,2.15
PT,DK,84,39,2.15
IS,MT,58,27,2.15
NL,FI,109,51,2.14
AL,GB,45,21,2.14
DE,ES,134,63,2.13
SE,PT,111,52,2.13
MD,AL,32,15,2.13
SI,IE,51,24,2.12
UA,RO,36,17,2.12
AM,AU,17,8,2.12
IE,MC,38,18,2.11
GB,HR,57,27,2.11
UA,CY,38,18,2.11
MD,ME,19,9,2.11
LT,SI,44,21,2.1
PT,GE,21,10,2.1
IS,SM,21,10,2.1
NO,BE,113,54,2.09
BE,FI,117,56,2.09
SI,MT,48,23,2.09
EE,PL,48,23,2.09
BG,EE,23,11,2.09
CZ,LT,23,11,2.09
DK,GR,75,36,2.08
EE,IL,50,24,2.08
MK,PL,25,12,2.08
BY,RO,27,13,2.08
BY,FI,27,13,2.08
SE,BG,25,12,2.08
DE,GE,27,13,2.08
TR,CH,60,29,2.07
GB,MK,31,15,2.07
BG,ES,29,14,2.07
UA,RS,29,14,2.07
SM,ES,31,15,2.07
AT,FI,97,47,2.06
CH,PL,37,18,2.06
LV,PL,37,18,2.06
AL,PL,33,16,2.06
AL,SI,33,16,2.06
MD,DK,33,16,2.06
RU,IE,39,19,2.05
LV,GR,43,21,2.05
ES,AL,39,19,2.05
MC,NL,49,24,2.04
BE,LU,77,38,2.03
NO,DE,126,62,2.03
ES,LU,71,35,2.03
GR,GB,91,45,2.02
YU,MC,32,16,2.0
MT,YU,10,5,2.0
PT,MT,58,29,2.0
GR,MC,16,8,2.0
AT,GR,76,38,2.0
MA,DK,2,1,2.0
CH,CY,68,34,2.0
RO,PL,28,14,2.0
SK,HU,10,5,2.0
RO,BA,24,12,2.0
RU,HR,36,18,2.0
BA,RO,24,12,2.0
CS,CY,6,3,2.0
BY,AL,24,12,2.0
AD,PL,10,5,2.0
MC,IS,6,3,2.0
CS,NO,6,3,2.0
CS,IL,6,3,2.0
CS,LT,6,3,2.0
PT,AD,10,5,2.0
HU,CS,2,1,2.0
AM,RO,26,13,2.0
HR,GE,16,8,2.0
GE,HR,18,9,2.0
ME,NL,20,10,2.0
GR,ME,18,9,2.0
PT,ME,12,6,2.0
LV,CZ,24,12,2.0
RU,CZ,8,4,2.0
AD,SM,2,1,2.0
FI,SM,20,10,2.0
AL,SK,4,2,2.0
BY,IT,18,9,2.0
AZ,AT,22,11,2.0
AU,AM,14,7,2.0
AU,BY,8,4,2.0
AU,SM,14,7,2.0
CZ,SM,14,7,2.0
EE,DE,57,29,1.97
AT,BE,102,52,1.96
NO,PT,106,54,1.96
EE,HR,45,23,1.96
FI,MC,41,21,1.95
MC,FI,41,21,1.95
MD,FR,37,19,1.95
GR,LU,35,18,1.94
RU,NL,35,18,1.94
RS,DE,33,17,1.94
YU,DE,52,27,1.93
CH,MD,27,14,1.93
SI,AM,27,14,1.93
AM,IS,29,15,1.93
IL,RS,29,15,1.93
MD,RS,29,15,1.93
GB,RS,29,15,1.93
NL,MC,46,24,1.92
DE,CY,69,36,1.92
IS,GB,71,37,1.92
ES,SI,46,24,1.92
FI,DE,109,57,1.91
CZ,AL,21,11,1.91
NO,AT,95,50,1.9
FI,TR,55,29,1.9
SI,RO,38,20,1.9
LV,CY,38,20,1.9
ES,YU,51,27,1.89
PL,GB,51,27,1.89
FR,SM,17,9,1.89
FI,YU,49,26,1.88
SE,YU,45,24,1.88
RU,PL,32,17,1.88
RU,LV,30,16,1.88
FI,AM,30,16,1.88
IE,RS,32,17,1.88
FR,HR,43,23,1.87
GB,HU,28,15,1.87
MT,MD,28,15,1.87
MD,AT,28,15,1.87
YU,AT,41,22,1.86
CY,FI,65,35,1.86
NO,HR,50,27,1.85
FI,PL,37,20,1.85
EE,RO,37,20,1.85
ES,LV,37,20,1.85
DK,MK,24,13,1.85
MT,FR,68,37,1.84
LT,DE,46,25,1.84
FI,ES,106,58,1.83
MT,MC,11,6,1.83
CY,PT,64,35,1.83
HR,ES,55,30,1.83
BA,DE,33,18,1.83
FI,RO,33,18,1.83
SI,BY,22,12,1.83
SM,GE,20,11,1.82
AZ,ES,31,17,1.82
CH,DK,87,48,1.81
LU,BE,65,36,1.81
YU,ES,49,27,1.81
GR,YU,18,10,1.8
IT,SI,27,15,1.8
SK,PL,9,5,1.8
SK,RU,9,5,1.8
PT,SK,9,5,1.8
SK,SI,9,5,1.8
AD,CH,9,5,1.8
GB,GE,27,15,1.8
MC,BE,43,24,1.79
FR,FI,95,53,1.79
NO,TR,59,33,1.79
ES,HR,43,24,1.79
BA,PL,25,14,1.79
LT,GR,41,23,1.78
EE,SI,41,23,1.78
AU,GE,16,9,1.78
ES,MC,39,22,1.77
IT,FI,71,40,1.77
MK,PT,23,13,1.77
FR,LV,37,21,1.76
LV,GB,44,25,1.76
BA,HU,14,8,1.75
SK,LT,7,4,1.75
PL,AD,7,4,1.75
NO,LU,61,35,1.74
SE,GR,73,42,1.74
BA,GB,33,19,1.74
CH,RU,33,19,1.74
CH,RO,33,19,1.74
TR,NO,57,33,1.73
BE,BA,26,15,1.73
FR,YU,43,25,1.72
NL,ES,103,60,1.72
PT,MC,31,18,1.72
MK,DK,31,18,1.72
GB,IT,82,48,1.71
MC,SE,36,21,1.71
FR,NO,101,59,1.71
MK,GB,36,21,1.71
CH,AM,29,17,1.71
YU,GR,17,10,1.7
MT,PL,39,23,1.7
UA,DE,34,20,1.7
CH,BE,98,58,1.69
HR,IS,44,26,1.69
CZ,DE,22,13,1.69
ME,ES,22,13,1.69
AT,YU,37,22,1.68
MT,PT,52,31,1.68
NL,LV,32,19,1.68
BE,MC,40,24,1.67
CH,MC,40,24,1.67
MC,MT,10,6,1.67
SI,GB,50,30,1.67
IS,SK,5,3,1.67
RU,TR,25,15,1.67
IT,HU,15,9,1.67
MC,EE,5,3,1.67
RU,BG,10,6,1.67
EE,AM,25,15,1.67
CZ,RO,10,6,1.67
SE,ME,15,9,1.67
BE,SM,15,9,1.67
DK,PT,63,38,1.66
CY,IS,56,34,1.65
RO,DE,38,23,1.65
RU,DE,38,23,1.65
RU,GB,38,23,1.65
AT,ES,87,53,1.64
GB,ES,105,64,1.64
IT,LV,18,11,1.64
MT,BE,44,27,1.63
NO,YU,42,26,1.62
IE,ES,94,58,1.62
TR,LU,26,16,1.62
ES,TR,55,34,1.62
NO,MK,21,13,1.62
CY,SM,13,8,1.62
RU,IS,32,20,1.6
HR,SK,8,5,1.6
EE,AD,8,5,1.6
AD,SI,8,5,1.6
MD,PL,24,15,1.6
DK,AM,24,15,1.6
IE,GR,65,41,1.59
FR,CY,59,37,1.59
RU,AT,27,17,1.59
AZ,GB,27,17,1.59
BA,ES,30,19,1.58
MT,BA,30,19,1.58
HR,RO,30,19,1.58
IS,BY,19,12,1.58
MD,TR,11,7,1.57
FI,GE,22,14,1.57
RS,SM,11,7,1.57
DK,LU,42,27,1.56
AT,MC,28,18,1.56
YU,BE,42,27,1.56
IE,SI,39,25,1.56
BG,SI,14,9,1.56
CH,AZ,25,16,1.56
AM,SM,14,9,1.56
MT,SI,34,22,1.55
HR,BY,17,11,1.55
AZ,DK,17,11,1.55
NL,YU,40,26,1.54
BA,FI,20,13,1.54
CY,SI,37,24,1.54
AL,IE,20,13,1.54
RS,AM,20,13,1.54
ME,FR,20,13,1.54
IT,TR,23,15,1.53
NO,ES,94,62,1.52
YU,FI,39,26,1.5
TR,PT,48,32,1.5
NL,SI,39,26,1.5
EE,GR,42,28,1.5
NL,MK,18,12,1.5
CY,LV,24,16,1.5
AD,CS,3,2,1.5
LT,CS,3,2,1.5
AD,CY,6,4,1.5
AL,AD,6,4,1.5
BG,DE,21,14,1.5
FR,BY,18,12,1.5
AM,DK,24,16,1.5
MK,GE,15,10,1.5
ME,PL,15,10,1.5
ME,CH,12,8,1.5
SM,BA,6,4,1.5
GB,SM,12,8,1.5
IT,ME,9,6,1.5
AU,DE,15,10,1.5
LU,AU,3,2,1.5
LU,PL,3,2,1.5
LU,YU,40,27,1.48
TR,FI,40,27,1.48
IS,SI,31,21,1.48
