Source,Target,TotalPoints,Encounters,AvgPointsPerEncounter
BG,UA,125,14,8.93
RO,TR,107,12,8.92
IS,DK,276,31,8.9
SI,BA,151,17,8.88
GR,MD,142,16,8.88
AU,LT,71,8,8.88
RS,RU,106,12,8.83
BA,AZ,53,6,8.83
BY,GE,88,10,8.8
IL,CZ,88,10,8.8
CY,AZ,132,15,8.8
AU,RU,44,5,8.8
ES,CZ,79,9,8.78
FI,HU,114,13,8.77
RU,GE,70,8,8.75
SI,UA,174,20,8.7
GE,BY,87,10,8.7
UA,PL,130,15,8.67
MT,AU,78,9,8.67
HR,AL,129,15,8.6
AL,ME,43,5,8.6
ME,GR,103,12,8.58
RO,AZ,103,12,8.58
FR,IL,350,41,8.54
AL,CS,17,2,8.5
DK,CS,17,2,8.5
PT,CS,17,2,8.5
AD,HU,17,2,8.5
FI,CZ,85,10,8.5
NO,LT,194,23,8.43
AM,FR,143,17,8.41
HU,IS,109,13,8.38
AU,IS,67,8,8.38
BY,AM,92,11,8.36
SM,MD,92,11,8.36
IE,LV,142,17,8.35
CS,UA,25,3,8.33
AL,BA,75,9,8.33
CY,AU,75,9,8.33
BA,TR,133,16,8.31
GR,RU,174,21,8.29
AM,SE,141,17,8.29
SM,NL,91,11,8.27
FR,RS,132,16,8.25
DK,IS,239,29,8.24
HR,SI,206,25,8.24
EE,BG,74,9,8.22
AU,HR,41,5,8.2
PL,SE,213,26,8.19
AD,UA,49,6,8.17
AD,FI,49,6,8.17
RS,SE,130,16,8.12
MA,GB,8,1,8.0
HR,HU,112,14,8.0
SK,MT,48,6,8.0
RO,GR,168,21,8.0
HU,DK,112,14,8.0
FR,CS,16,2,8.0
NO,CS,16,2,8.0
RU,CS,16,2,8.0
MC,CY,24,3,8.0
MK,ME,40,5,8.0
EE,CZ,64,8,8.0
AU,DK,56,7,8.0
BG,AU,32,4,8.0
AZ,LU,16,2,8.0
DE,PL,175,22,7.95
AL,CH,135,17,7.94
ME,UA,87,11,7.91
SM,CY,87,11,7.91
